"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"MODULAR, RECONFIGURABLE, AQUATIC DEVICE AND METHOD OF MANUFACTURE","US2016016084 (A1); US9751023 (B2)","2016-01-21","KETTE ROSS [US]","RAIN DROP PRODUCTS LLC [US]","A63G31/00","A63G31/007","US201414777303","20140317","WO2014US30439 20140317; US201414777303 20140317; US201361794684P 20130315","US5503597 (A); US4557210 (A); US6319139 (B1); US4557210 (A); US5503597 (A); US6319139 (B1)","","","","","","","","US4416420 (A); US5194048 (A); US5967901 (A); US6702687 (B1); US6739979 (B2); US8021239 (B2); US8226493 (B2); US2002074427 (A1)","","","","",""
"HAND EXOSKELETON DEVICE","US10028880 (B2); US2016015590 (A1)","2016-01-21","ARATA JUMPEI [JP];  GASSERT ROGER [CH]","KYUSYU UNIVERSITY NAT UNIVERSITY CORP [JP];  UNIV KYUSHU NAT UNIV CORP [JP]","A61H1/02; A61F2/58; A61F2/78","A61F2/583; A61F2/586; A61F2/78; A61H1/0288; B25J9/0006; A61F2002/7862; A61H2201/1481; A61H2201/149; A61H2201/1635; A61H2201/165; A61H2201/1664; A61H2201/1676; A61H2201/5007; A61H2230/605","US201414773075","20140307","JP20130046449 20130308; WO2014JP56032 20140307","US2885686 (A); US4167044 (A); US4834761 (A); US5807376 (A)","","","","","","","","US8998831 (B2); US2010249676 (A1); US2012029399 (A1); EP2417941 (A1); JPS5028551 (A); JPS62188381U (U); JP2005059110 (A); JP2010063723 (A); JP2013240464 (A); WO2013012029 (A1)","","","","",""
"SYSTEMS AND METHODS FOR EXERTING FORCE ON BODIES","US10265237 (B2); US2016008206 (A1)","2016-01-14","DEVANABOYINA UDAYA SANKAR [US]","DEVANABOYINA UDAYA SANKAR [US]","A61H1/00; A61H9/00","A47C9/002; A61H1/001; A61H1/008; A61H3/00; A61H7/007; A61H9/0078; A61H23/006; A61H23/02; A61M21/02; A63B21/00181; A63B69/0064; A61H2003/043; A61H2015/0064; A61H2023/045; A61H2201/0103; A61H2201/0142; A61H2201/0149; A61H2201/0207; A61H2201/0214; A61H2201/1207; A61H2201/1215; A61H2201/1246; A61H2201/1253; A61H2201/1621; A61H2201/1635; A61H2201/164; A61H2201/1642; A61H2201/1645; A61H2201/165; A61H2201/1654; A61H2201/168; A61H2201/1695; A61H2201/1697; A61H2201/5007; A61H2201/5061; A61H2201/5064; A61H2201/5071; A61H2201/5082; A61H2201/5084; A61H2203/0406; A61H2203/0431; A61H2203/0456; A61H2205/12; A61H2209/00; A61H2230/045; A61H2230/105; A61H2230/405; A61H2230/805; A61M2021/0022; A63B21/0442; A63B21/4005; A63B21/4007; A63B22/02","US201414772359","20140306","US201414772359 20140306; US201361773154P 20130306; WO2014US21448 20140306","US2142689 (A); US2270313 (A); US3659593 (A); US5133339 (A); US5987705 (A); US5976099 (A); US2002177793 (A1); US6488645 (B1); US2003212303 (A1); US2003212352 (A1); US2004030411 (A1); US2006070170 (A1); US2008294075 (A1); US2010144490 (A1); US2011098157 (A1); US2011120567 (A1); US2012059291 (A1); US2012238921 (A1); US2012234111 (A1); US2012316481 (A1); US2013000021 (A1); US2013013033 (A1); US2013041303 (A1); US2013085040 (A1); US2013178764 (A1); US2013239976 (A1); US9456641 (B1); US9554964 (B1); US2142689 (A); US2270313 (A); US3659593 (A); US4925133 (A); US5133339 (A); US5976099 (A); US5987705 (A); US6488645 (B1); US9456641 (B1); US9554964 (B1); US2002177793 (A1); US2003212303 (A1); US2003212352 (A1); US2004030411 (A1); US2006070170 (A1); US2008294075 (A1); US2010144490 (A1); US2011098157 (A1); US2011120567 (A1); US2012059291 (A1); US2012234111 (A1); US2012238921 (A1); US2012316481 (A1); US2013000021 (A1); US2013013033 (A1); US2013041303 (A1); US2013085040 (A1); US2013178764 (A1); US2013239976 (A1)","","","","","","","","US3411500 (A); US3622025 (A); US4291917 (A); US5489259 (A); US5520402 (A); US5628230 (A); US5918602 (A); US2002032395 (A1); US2003191420 (A1); US2003195445 (A1); US2008249442 (A1); US2011043755 (A1); EP1447070 (A1); GB2320186 (A); WO0040202 (A2); WO0172207 (A2); WO2005120408 (A1); WO2007079777 (A1); WO2008032302 (A1)","","","","",""
"AIRCRAFT SIMULATOR","US2015379884 (A1)","2015-12-31","SALTZMAN XYLON [US]","ONE G LLC [US]","G09B9/08","G09B9/08","US201414766012","20140204","WO2014US14640 20140204; US201414766012 20140204; US201361761044P 20130205","US6106298 (A); US2008226846 (A1); US2003131539 (A1); US2012135382 (A1); US4599070 (A); US2010003652 (A1); US2011254655 (A1)","","","","","","","","","","","","",""
"Glove Preventing Hyper-Extended or Jammed Fingers","US2015366277 (A1)","2015-12-24","RABBETH JR ROBERT SYDNEY [US]","RABBETH JR ROBERT SYDNEY [US]","A41D19/015; A61F5/01; A63B71/14","A41D19/01588; A61F5/013; A63B71/141; A41D13/087","US201514744626","20150619","US201514744626 20150619; US201462014459P 20140619","US4272849 (A); US8037549 (B2); US2007028354 (A1); US2009307821 (A1); US8262594 (B2); US2009162651 (A1); US6044494 (A); US6065155 (A); US5117509 (A); US2010325777 (A1)","","","","","","","","","","","","",""
"NOVEL CHITIN / DEMINERALISED DEHYDRATED CHITINACEOUS / CRUSTACEAN EXOSKELETON -BASED FORMULATION CONTAINING MICROBES THAT GENERATE CHITINASE / PROTEASE ENZYMES","US2015366185 (A1)","2015-12-24","NARAYANAN MANOJ CHUZHATTIL [IN];  RAO PRIYA RAGHAVENDRA [IN];  JACOB THOMAS [IN]","PELICAN BIOTECH & CHEMICAL LABS PVT LTD [IN]","A01N25/08; A01N63/04","A01N25/08; A01N63/04; C12N9/2442; A01N63/04; A01N25/10","US201414764441","20140129","IN2013CHE414 20130130; WO2014IB58629 20140129","US2014179521 (A1)","","","","","","","","","","","","",""
"WRIST AND FOREARM EXOSKELETON","US10123929 (B2); US2015359697 (A1)","2015-12-17","CELIK OZKAN [US]","CELIK OZKAN [US]","A61H1/02","A61H1/0274; A61H1/0285; A63B21/0058; A63B21/4035; A63B21/4049; A63B23/03508; A63B23/14; A61H1/0237; A61H1/0296; A61H2201/1215; A61H2201/1635; A61H2201/1671; A61H2201/5043; A63B21/00178; A63B21/00181; A63B21/4034; A63B23/1281; A63B2024/0096","US201514741710","20150617","US201514741710 20150617; US201462013423P 20140617","US2012165158 (A1); US2011264018 (A1); US2010298097 (A1); US2010016766 (A1); US2009030353 (A1); US2004243025 (A1); US2003223844 (A1); US2003115954 (A1); US6506172 (B1); US9592174 (B2); US9345634 (B2); US8460222 (B2); US5738636 (A); US5738636 (A); US6506172 (B1); US8460222 (B2); US9345634 (B2); US9592174 (B2); US2003115954 (A1); US2003223844 (A1); US2004243025 (A1); US2009030353 (A1); US2010016766 (A1); US2010298097 (A1); US2011264018 (A1); US2012165158 (A1)","","","","","","","","US5466213 (A); US7618381 (B2); US2007225620 (A1); US2008009771 (A1); US2010280628 (A1); US2011282253 (A1); US2011313331 (A1); US2012330198 (A1)","","","","",""
"Reconfigurable Exoskeleton","US10327975 (B2); US2015351995 (A1)","2015-12-10","ZOSS ADAM [US];  EVANS JONATHAN [US];  SANDLER REUBEN [US];  HARDING NATHAN [US];  JULIN AARON [US];  LUBIN JAMES [US];  HEANUE TAYLOR [US];  FAIRBANKS DYLAN [US];  STRYKER JAMES [US]","EKSO BIONICS INC [US]","A61H3/00","A61H1/024; A61H1/0244; A61H1/0266; A61H3/00; B25J9/0006; A61H2201/0107; A61H2201/165; A61H2201/50; A61H2201/5002; A61H2201/5007; A61H2201/5061; A61H2201/5064; A61H2201/5069; A61H2201/5084","US201314649822","20131211","US201314649822 20131211; US201261735816P 20121211; WO2013US74353 20131211","US2007123997 (A1); US2008161937 (A1); US2008287850 (A1); US2009292369 (A1); US2010076360 (A1); US2010204627 (A1); US2010256537 (A1); US2011105966 (A1); US2013158445 (A1); US2013197408 (A1); US2013226048 (A1); US2013331744 (A1); US2014142475 (A1); US2015025423 (A1); US2015045703 (A1); US2008161937 (A1); US2013226048 (A1); US2013197408 (A1); US2006026062 (A1); US2013158445 (A1); US2010076360 (A1); US2010204627 (A1); US2015025423 (A1); US2015045703 (A1); US2013331744 (A1); US2014142475 (A1); US2009292369 (A1); US2007123997 (A1); US2010256537 (A1); US2011105966 (A1); US2008287850 (A1); US2007123997 (A1); US2008161937 (A1); US2008287850 (A1); US2009292369 (A1); US2010076360 (A1); US2010204627 (A1); US2010256537 (A1); US2011105966 (A1); US2013158445 (A1); US2013197408 (A1); US2013226048 (A1); US2013331744 (A1); US2014142475 (A1); US2015025423 (A1); US2015045703 (A1)","","","","","","","","US5052379 (A); US5121742 (A); US5368546 (A); US5407420 (A); US5421810 (A); US5460599 (A); US5658241 (A); US5711746 (A); US6589195 (B1); US7041074 (B1); US7190141 (B1); US7320672 (B2); US7410472 (B2); US8172781 (B2); US8337441 (B2); US8366591 (B2); US8801641 (B2); US8945028 (B2); US8968222 (B2); US2004049140 (A1); US2006260620 (A1); US2010271207 (A1); US2011264014 (A1); US2011313331 (A1); US2012059296 (A1); US2012259259 (A1); US2013289452 (A1); US2013303950 (A1); CN2730338Y (Y); CN201510472U (U); CN101810532 (A); CN201840552U (U); CN201861910U (U); CN102113949 (A); WO2009125397 (A2); WO2011127421 (A1)","","","","",""
"FOOT ORTHOSIS AND EXOSKELETON","US2015338189 (A1); US9562742 (B2)","2015-11-26","POPOVICI BRYAN [US]","POPOVICI BRYAN [US]","F41C33/02","F41C33/0209; F41C33/0236; F41H1/02","US201514818822","20150805","US201514818822 20150805; US201113173498 20110630","US7954777 (B2); US6110130 (A); US2015057587 (A1); US6110130 (A); US7954777 (B2); US2015057587 (A1)","","","","","","","","US2949111 (A); US3086521 (A); US3805773 (A); US4029242 (A); US4410118 (A); US5727341 (A); US5934531 (A); US6176402 (B1); US7766851 (B2); US8323224 (B2); US2005198872 (A1); US2013228601 (A1); US2013231598 (A1)","","","","",""
"Forward or Rearward Oriented Exoskeleton","US2015321341 (A1)","2015-11-12","SMITH FRASER M [US]","SARCOS LC [US]","B25J9/00; A61H1/02; A61H3/00","A61H1/0237; A61H1/024; A61H1/0244; A61H1/0255; A61H1/0262; A61H1/0266; A61H1/0274; A61H1/0277; A61H1/0281; A61H1/0285; A61H3/00; B25J9/0006; B25J9/144; B25J17/0283; A61H2201/1207; A61H2201/1238; A61H2201/1614; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/5061","US201514704964","20150505","US201514704964 20150505; US201461989521P 20140506","US2009036815 (A1); US5144943 (A); US2008269027 (A1); US2013090580 (A1); US2009199883 (A1); US2015209214 (A1); US2012259429 (A1); US2008156363 (A1); US2009036815 (A1); US2008269027 (A1); US5144943 (A); US2013090580 (A1); US2012259429 (A1); US2009199883 (A1); US2008156363 (A1); US2015209214 (A1)","","","","","","","","","","","","",""
"ROBOTIC EXOSKELETON WITH FALL CONTROL AND ACTUATION","US2015289997 (A1); US9474632 (B2)","2015-10-15","BOSSCHER PAUL M [US];  SUMMER MATTHEW D [US];  WILKINSON LORAN J [US]","HARRIS CORP [US]","A61F2/70; A61F2/68","A61F2/60; A61F2/68; A61F2/70; B25J9/0006; B25J19/0091; A61F2002/5081; A61F2002/701; A61F2002/741; A61F2002/745; Y02P90/265; Y10S901/49","US201414458766","20140813","US201414458766 20140813; US201461978545P 20140411","US2008009771 (A1); US2010114329 (A1); US2010113980 (A1); US2008009771 (A1); US2010113980 (A1); US2010114329 (A1)","","","","","","","","US5516249 (A); US5583478 (A); US7190141 (B1); US7300824 (B2); US7665641 (B2); US7774177 (B2); US7947004 (B2); US8142370 (B2); US8419804 (B2); US8702811 (B2); US8849457 (B2); US8986397 (B2); US9066817 (B2); US2006079817 (A1); US2007123997 (A1); US2008249438 (A1); US2009255531 (A1); US2011040216 (A1); US2011266323 (A1); US2012156661 (A1); US2012259431 (A1); US2013102935 (A1); US2013296746 (A1); US2013310979 (A1); US2014094728 (A1); US2015088043 (A1); US2015289995 (A1)","","","","",""
"Bedbug Tape","US2015289495 (A1)","2015-10-15","OLSZAK WALTER [US]","OLSZAK WALTER [US]","A01M1/02; A01M1/00","A01M1/02; A01M1/2011","US201414251781","20140414","US201414251781 20140414","US2511856 (A); US2951623 (A); US3295246 (A); US3428221 (A); US5137752 (A); US5644998 (A); US5662578 (A); US6367534 (B1); US2004216367 (A1); US2012227313 (A1); US2015007486 (A1); US2015173341 (A1)","","","","","","","","","","","","",""
"Mobility System Including an Exoskeleton Assembly Releasably Supported on a Wheeled Base","US2015283009 (A1); US9849048 (B2)","2015-10-08","BORISOFF JAIMIE [CA];  RAFER VINCE [CA]","BRITSH COLUMBIA INST OF TECHNOLOGY [CA]","A61G5/10; A61G5/14; A61H1/02; A61H3/02; A61H3/04","A61G5/10; A61G5/1054; A61G5/14; A61H1/024; A61H1/0244; A61H1/0262; A61H3/0244; A61H3/04; A61H2201/0107; A61H2201/0161; A61H2201/163; A61H2201/164","US201314440195","20131101","WO2013CA50836 20131101; US201314440195 20131101; US201261721091P 20121101","US5387184 (A); US7452342 (B2); US2010271051 (A1)","","","","","","","","US4390076 (A); CN100548256C (C); EP2193774 (A1); EP2361734 (A2); GB2166048 (A); WO2006078871 (A2)","","","","",""
"CABLE WITH AN EXOSKELETON","US2015277074 (A1)","2015-10-01","VILLIGER BRETT [US];  CIGNARALE JOSEPH [US]","AFL TELECOMMUNICATIONS LLC [US]","G02B6/44","G02B6/443; G02B6/4438; G02B6/4494; G02B6/4495","US201414212698","20140314","US201414212698 20140314; US201361794262P 20130315","US5389442 (A); US6317543 (B1); US6611646 (B1)","","","","","","","","","","","","",""
"ROBOTIC DEVICE FOR ASSISTANCE AND REHABILITATION OF LOWER LIMBS","US2015272809 (A1)","2015-10-01","ACCOTO DINO [IT];  SERGI FABRIZIO [US];  CARPINO GIORGIO [IT];  TAGLIAMONTE NEVIO LUIGI [IT];  GALZERANO SIMONE [IT];  DI PALO MICHELANGELO [IT];  GUGLIELMELLI EUGENIO [IT]","UNIVERSIT CAMPUS BIO MEDICO DI ROMA [IT]","A61H3/00","A61H1/0237; A61H3/00; A61H2003/007; A61H2201/165","US201314434124","20131007","IT2012RM00482 20121009; WO2013IB59174 20131007","US3449769 (A); US5020790 (A); US5476441 (A); US2006064047 (A1); US2006241539 (A1); US2006276728 (A1); US2008318739 (A1); US2009014042 (A1); US7628766 (B1); US2010036302 (A1); US2010121232 (A1); US2010270771 (A1); US2011105966 (A1); US2012172769 (A1); US2013331744 (A1); US2014100493 (A1); US2014213951 (A1)","","","","","","","","","","","","",""
"EXOSKELETON FOR ESSENTIAL TREMOR AND PARKINSON'S DISEASE","US2015272807 (A1)","2015-10-01","GUPTA ABHIJIT [US];  RIDDEL RYAN [US];  SRA RANDEEP [US]","UNIV NORTHERN ILLINOIS [US]","A61H1/02; A61H99/00","A61B5/1101; A61B5/4082; A61B5/6824; A61H1/0274; A61H1/0277; A61H1/0285; A61B5/725; A61B2562/0219; A61H99/00; A61H2201/1463; A61H2201/5007; A61H2201/5084; A61H2205/06; A61H2230/605","US201514670117","20150326","US201514670117 20150326; US201461971141P 20140327","US6458089 (B1); US6561993 (B2); US6730049 (B2); US2004106881 (A1); US7367958 (B2); US7618381 (B2); US2010204804 (A1); US2013018283 (A1); US2014336722 (A1); US9592174 (B2)","","","","","","","","","","","","",""
"EXOSKELETON SYSTEM","US2015264984 (A1)","2015-09-24","DOLCETTI JOSEPH CLEARY [MY]","DOLCETTI JOSEPH CLEARY [MY]","A41D13/00; A41D31/00","A41D13/0015; A41D31/02; A63B21/00061; A63B21/00065; A63B21/065; A63B21/4001; A63B21/0602; A63B21/0603; A63B21/068; A63B21/4005; A63B21/4007; A63B21/4009; A63B21/4011; A63B21/4017; A63B2071/0625; A63B71/0686; A63B2207/00; A63B2209/00; A63B2209/10; A63B2220/20; A63B2220/30; A63B2220/40; A63B2220/806; A63B2220/807; A63B2225/68; A63B2225/685; A63B2225/687","US201514665660","20150323","US201514665660 20150323; MY2010PI00514 20100203; US201213576034 20120913; WO2011MY00011 20110128","","","","","","","","","","","","","",""
"Cable Tightening System For An Article of Footwear","US2015250267 (A1); US9462851 (B2)","2015-09-10","BAKER BRIAN D [US];  HURD JOHN [US];  MOLYNEUX JAMES [US];  RHULEN BLAKE [US]","NIKE INC [US]","A43C11/16","A43B23/00; A43B23/0235; A43C11/008; A43C11/1493; A43C11/16; A43C11/165","US201514720233","20150522","US201514720233 20150522; US201313755507 20130131; US20100767138 20100426","US5291671 (A); US5381609 (A); US5651195 (A); US6052921 (A); US2002002781 (A1); US2004181972 (A1); US2007011914 (A1); US7287342 (B2); US7562470 (B2); US2011258876 (A1); US8387282 (B2); US9049902 (B2); US5291671 (A); US5381609 (A); US5651195 (A); US6052921 (A); US7287342 (B2); US7562470 (B2); US8387282 (B2); US9049902 (B2); US2002002781 (A1); US2004181972 (A1); US2007011914 (A1); US2011258876 (A1)","","","","","","","","US4011634 (A); US4020571 (A); US4037333 (A); US4090278 (A); US4130949 (A); US4253217 (A); US4310951 (A); US4326320 (A); US4424636 (A); US4453290 (A); US4592154 (A); US4619057 (A); US4794706 (A); US4800659 (A); US4802290 (A); US4845864 (A); US4901451 (A); US5105566 (A); US5129130 (A); US5323549 (A); US5341583 (A); US5469640 (A); US5555650 (A); US5755044 (A); US5934599 (A); US6018890 (A); US6052924 (A); US6148489 (A); US6199305 (B1); US6202953 (B1); US6289558 (B1); US6289609 (B1); US6449878 (B1); US6601042 (B1); US6643954 (B2); US6681503 (B2); US6892429 (B2); US6922917 (B2); US7016867 (B2); US7028420 (B2); US7065906 (B2); US7082703 (B2); US7107235 (B2); US7200957 (B2); US7428789 (B2); US7591050 (B2); US2002043007 (A1); US2002095750 (A1); US2004043007 (A1); US2005022427 (A1); US2005102861 (A1); US2005210706 (A1); US2006000116 (A1); US2006116483 (A1); US2006201031 (A1); US2007000105 (A1); US2007033836 (A1); US2007043630 (A1); US2007186447 (A1); US2007277398 (A1); US2008235990 (A1); US2008307673 (A1); US2009205221 (A1); US2014033576 (A1); CN1871962 (A); CN102958395 (A); EP1064863 (A1); EP1421868 (A1); EP2563176 (A2); FR2827486 (A1); WO9215214 (A1); WO2011139474 (A2)","","","","",""
"Trunk Supporting Exoskeleton and Method of Use","US10357392 (B2); US2015230964 (A1)","2015-08-20","KAZEROONI HOMAYOON [US];  TUNG WAYNE [US];  MCKINLEY MICHAEL [US];  JEONG YOON JUNG [US]","U S BIONICS INC [US]","A61F5/02","A61F5/01; A61F5/02; A61H3/00","US201514704901","20150505","US201514704901 20150505; US201414480549 20140908; US201314125117 20131211; WO2012US41891 20120611; US201161495484P 20110610","US2906260 (A); US5259833 (A); US5951591 (A); US2008228121 (A1); US2012184881 (A1); US2013131560 (A1)","","","","","","","","US1202851 (A); US1409326 (A); US3790209 (A); US4256098 (A); US4745911 (A); US4829989 (A); US5127897 (A); US5176622 (A); US5207635 (A); US5248293 (A); US5275426 (A); US5314404 (A); US6436065 (B1); US7553266 (B2); US7744552 (B1); US8060945 (B2); US8568344 (B2); US9022956 (B2); US9655762 (B2); US9744066 (B2); US2005130815 (A1); US2005158117 (A1); US2007090143 (A1); US2008161738 (A1); US2009292369 (A1); US2010094185 (A1); US2010125230 (A1); US2010298746 (A1); US2011098617 (A1); US2011105966 (A1); US2011111932 (A1); US2011266323 (A1); US2012136292 (A1); US2014121573 (A1); US2015142130 (A1); US2016206498 (A1); US2017196712 (A1); US2017360588 (A1); CN201934433U (U); JPH01274758 (A); JPH03165765 (A); JP2007020672 (A); JP2007097636 (A); JP2007130234 (A); JP2007282991 (A); JP2009011818 (A); WO2010011848 (A1); WO2012171000 (A1); WO2017086946 (A1)","","","","",""
"WEARABLE EXOSKELETON DEVICE FOR HAND REHABILITATION","US2015223959 (A1); US9730825 (B2)","2015-08-13","CEMPINI MARCO [IT];  VITIELLO NICOLA [IT];  GIOVACCHINI FRANCESCO [IT];  DE ROSSI STEFANO MARCO MARIA [IT];  LENZI TOMMASO [US];  CHIRI AZZURRA [IT];  CARROZZA MARIA CHIARA [IT]","SCUOLA SUPERIORE S ANNA [IT]","A61F5/01","A61F5/013; A61H1/0285; A61H1/0288; A61H2201/1215; A61H2201/1638; A61H2201/165; A61H2201/1664; A61H2201/1673","US201314422488","20130826","IT2012PI00094 20120828; WO2013IB56894 20130826","","","","","","","","","EP2436358 (A1)","","","","",""
"Separable exoskeleton earphone case","USD735706 (S)","2015-08-04","STEVINSON DEAN [US]","STEVINSON DEAN [US]","","","US201329445396F","20130211","US201329445396F 20130211","","","","","","","","","","","","","",""
"OPTIMAL DESIGN OF A LOWER LIMB EXOSKELETON OR ORTHOSIS","US2015209214 (A1)","2015-07-30","HERR HUGH M [US];  MOONEY LUKE M [US];  ROUSE ELLIOTT J [US];  KUAN JIUN-YIH [US]","MASSACHUSETTS INST TECHNOLOGY [US]","A61H3/00; A61F2/60; A61F2/64; A61F2/66","A61F2/60; A61F2/605; A61F2/64; A61F2/6607; A61F5/0102; A61H1/0237; A61H1/024; A61H1/0244; A61H1/0266; A61H3/00; B25J9/0006; A61F2005/0132; A61F2005/0155; A61F2005/0179; A61H2201/1207; A61H2201/1215; A61H2201/1238; A61H2201/1261; A61H2201/14; A61H2201/1409; A61H2201/1436; A61H2201/149; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1657; A61H2201/1676; A61H2201/5007; A61H2201/5061; A61H2201/5069; A61H2201/5071; A61H2201/5082; A61H2201/5084; A61H2230/605","US201414572499","20141216","US201414572499 20141216; US201361916692P 20131216; US201462014377P 20140619","US2014277739 (A1); US9889058 (B2); US2014277739 (A1); US9889058 (B2)","","","","","","","","","","","","",""
"ACTIVE ISOTHERMAL TRANSPORT UNIT","US2015198358 (A1)","2015-07-16","JONES JR LOUIS GAMBLE [US]","JONES JR LOUIS GAMBLE [US]","F25B21/02","F25B21/02; G05D23/24; F25B2321/023","US201514595156","20150112","US201514595156 20150112; US201461926316P 20140111","US6325281 (B1); US8061149 (B1); US2013061536 (A1)","","","","","","","","","","","","",""
"MOTION CONTROL DEVICE BASED ON WINDING STRING","US2015190246 (A1); US9566173 (B2)","2015-07-09","RYU JEE HWAN [KR];  POPOV DMITRY [KR];  GAPONOV IGOR [KR]","UNIV KOREA IND UNIV COOP FOUND [KR]","A61F2/54; B25J13/02; B25J15/10","A61F2/54; A61F5/013; A61H1/0285; A61H1/0288; B25J9/0006; B25J9/104; B25J13/02; B25J13/025; B25J15/10; G06F3/011; G06F3/014; A61F2002/543; A61H2201/1215; A61H2201/1638; A61H2201/165; A61H2201/1676; Y10S901/36; Y10T74/18848","US201314419037","20130730","KR20120084828 20120802; KR20130055325 20130515; KR20130025412 20130311; WO2013KR06822 20130730","US4921293 (A); US4986280 (A); US5062673 (A); US5080682 (A); US5316017 (A); US5447403 (A); US5587937 (A); US5631861 (A); US6042555 (A); US6104379 (A); US6110130 (A); US2003120183 (A1); US2005024331 (A1); US2008000317 (A1); US2008066574 (A1); US7410338 (B2); US7673916 (B2); US2011040408 (A1); US8056423 (B2); US8054289 (B2); US8521331 (B2); US2014277739 (A1); US8935003 (B2); US2015209214 (A1); US4921293 (A); US4986280 (A); US5062673 (A); US5080682 (A); US5316017 (A); US5447403 (A); US5587937 (A); US5631861 (A); US6042555 (A); US6104379 (A); US6110130 (A); US7410338 (B2); US7673916 (B2); US8054289 (B2); US8056423 (B2); US8521331 (B2); US8935003 (B2); US2003120183 (A1); US2005024331 (A1); US2008000317 (A1); US2008066574 (A1); US2011040408 (A1); US2014277739 (A1); US2015209214 (A1)","","","","","","","","JPH07204233 (A); JP2008196566 (A); KR101011011B (B1); KR20110104781 (A)","","","","",""
"CONTROLLABLE PASSIVE ARTIFICIAL KNEE","US2015173929 (A1)","2015-06-25","KAZEROONI HOMAYOON [US];  TUNG WAYNE [US];  HYUN DON JIN [US];  MCKINLEY STEPHEN [US];  JEONG YOON JUNG [US]","UNIV CALIFORNIA [US]","A61F5/01","A61F5/0123; A61F5/0125; A61H1/00; A61H1/001; A61H1/0244; A61H3/00; B25J9/0006; A61F2005/0158; A61H2201/0165; A61H2201/1215; A61H2201/163; A61H2201/1642; A61H2201/165; A61H2201/5007; A61H2201/5069","US201514641039","20150306","US201514641039 20150306; WO2013US46478 20130619; US201261697948P 20120907","US5476441 (A); US2003062241 (A1); US2003153854 (A1); US2008200856 (A1); US2009292369 (A1); US2010204627 (A1); US8057410 (B2); US2010121232 (A1); US2012215323 (A1); US2012215323 (A1); US2003062241 (A1); US2010121232 (A1)","","","","","","","","","","","","",""
"METHOD OF PRESERVING CUT FLOWERS","US2015143744 (A1)","2015-05-28","TOOKES KELLY [US]","TOOKES KELLY [US]","A01G5/06; A01G5/04; A01N3/00; A47G7/00; A47G7/03","A01G5/04; A01G5/06; A01N3/00","US201314088240","20131122","US201314088240 20131122","","","","","","","","","","","US2013247459 (A1)","","",""
"MOVEMENT ASSISTANCE DEVICE","US2015142130 (A1); US9566705 (B2)","2015-05-21","GOLDFARB MICHAEL [US];  MURRAY SPENCER [US]","UNIV VANDERBILT [US]","B25J9/00; A61F2/72","A61F2/72; A61H1/024; A61H1/0244; A61H3/00; B25J9/0006; A61H2201/1215; A61H2201/163; A61H2201/1642; A61H2201/1676; A61H2201/5002; A61H2201/5007; A61H2201/5061; A61H2201/5069; Y10S901/28","US201314408094","20130617","WO2013US46107 20130617; US201314408094 20130617; US201261660286P 20120615","US5282460 (A); US5476441 (A); US2008249438 (A1); US5101472 (A); US2004249319 (A1); US7190141 (B1); US2010256537 (A1); US2011166489 (A1); US2011264015 (A1)","","","","","","","","","","","","",""
"WEARABLE ROBOT AND METHOD FOR CONTROLLING THE SAME","US2015134080 (A1)","2015-05-14","ROH CHANG HYUN [KR]","SAMSUNG ELECTRONICS CO LTD [KR]","B25J9/00; A61B5/0488; A61H3/00; B25J9/16","A61B5/04888; B25J9/0006; B25J9/1694; A61B5/1071; A61B5/112; A61H1/024; A61H1/0244; A61H1/0266; A61H3/00; A61H2003/007; A61H2201/0107; A61H2201/165; A61H2201/5058; A61H2201/5069; A61H2201/5079; A61H2201/5084; A61H2201/5092; A61H2201/5097; A61H2230/605; Y10S901/01","US201414476229","20140903","KR20130138581 20131114","US5112296 (A); US2004167641 (A1); US2005130815 (A1); US2006211956 (A1); US7652386 (B2); US2010121232 (A1); US2010271051 (A1); US2010256537 (A1); US7857774 (B2); US2011166491 (A1); US2012259431 (A1); US2014012164 (A1); US2014100492 (A1); WO2008032967 (A1); US2010094188 (A1)","","","","","","","","","","","","",""
"Device and Method for Decreasing Energy Consumption of a Person by Use of a Lower Extremity Exoskeleton","US2015134078 (A1)","2015-05-14","AMUNDSON KURT [US];  HARDING NATHAN [US];  KAZEROONI HOMAYOON [US]","EKSO BIONICS INC [US]","A61H3/00","A61H3/00; A61H3/061; B25J9/0006; A61H3/008","US201514605343","20150126","US201514605343 20150126; US20090468595 20090519; US20080071823P 20080520","US2005279796 (A1); US8945028 (B2); US2002094919 (A1); US2007123997 (A1); US2005279796 (A1); US8945028 (B2)","","","","","","","","","","","","",""
